,relevant_sentences,sent_count_x,rel_match_all,sent_count_y,company_label,company_index,sent_index,label
21,Renewable energy generated and used onsite (Scope 1)4 0.05%,9,"GRI 302-1 Energy consumption within the organization (Scopes 1+2) GRI 302-4 Energy reductions Total energy use 2016 2017 2018 2019 2020 Total energy use (GJ) 20,913,432 19,418,800 19,313,900 18,674,800 18,033,385 Scope 1 and location-based Scope 2 energy use (% of total)1 2016 2017 2018 2019 2020 Natural gas (Scope 1) 61% 60% 63% 63% 65% Purchased electricity (Scope 2)2,3 23% 23% 23% 24% 24% Fleet fuel (Scope 1) 12% 13% 10% 9% 7% Fuel oil (Scope 1) 1% 2% 2% 2% 2% Purchased steam (Scope 2) 2% 2% 2% 2% 2% Bio-Fuel (Scope 1) 0.4% 0.6% 0.6% 0.6% 0.7% Renewable energy generated and used onsite (Scope 1)4 0.04% 0.04% 0.05% 0.05% 0.05% Spent solvents (Scope 1 ) 0.1% 0.0% 0.0% 0.0% 0.0% Coal (Scope 1) 0.0% 0.0% 0.0% 0.0% 0.0% Note: We have defined “purchased electricity” as electricity sourced from external suppliers as well as renewable electricity that was generated and utilized onsite where we retained the renewable attributes or where we have obtained renewable attributes through contract.",168,Merck,0003,1190,rel
22,On Track: 37.7% of our purchased electricity comes from renewables,10,On Track: 8% reduction in Scopes 1 & 2 GHG emissions On Track: 37.7% of our purchased electricity comes from renewables Progress: Progress: Merck ESG Progress Report 2020/2021 100 Overview GRI/SASB: General disclosures Economic Environmental Social Indices,37,Merck,0003,1321,rel
23,"From 2019 to 2020, we reduced our year-over-year Scope 1 and Scope 2 market-based GHG emissions by eight percent due to our continued focus on energy efficiency and an increased utilization of renewable energy.",34,"Reduction of GHG emissions From 2019 to 2020, we reduced our year-over-year Scope 1 and Scope 2 market-based GHG emissions by eight percent due to our continued focus on energy efficiency and an increased utilization of renewable energy.",38,Merck,0003,1361,rel
24,The decrease in SOx emissions from 2019 to 2020 can be attributed to the use of fuel with a lower sulfur content.,22,The decrease in SOx emissions from 2019 to 2020 can be attributed to the use of fuel with a lower sulfur content.,22,Merck,0003,1397,rel
25,VOC emissions decreased from 2019 to 2020 due to variations in production and because of continuous data collection improvements with the adoption of more accurate emission-tracking methods.,27,VOC emissions decreased from 2019 to 2020 due to variations in production and because of continuous data collection improvements with the adoption of more accurate emission-tracking methods.,27,Merck,0003,1398,rel
26,"We have photovoltaic installations at five sites in the U.S., Switzerland and China, providing a combined annual electricity output of 3,632,000 kWh, equivalent to taking",25,"** We have photovoltaic installations at five sites in the U.S., Switzerland and China, providing a combined annual electricity output of 3,632,000 kWh, equivalent to taking 560 vehicles off the road for one year.",34,BristolMyersSquibb,0004,0863,rel
27,org to develop a program to offset carbon emissions for corporate travel by supporting efforts to stop deforestation and drive sustainable economic growth in the Amazonian Basin.,27,org to develop a program to offset carbon emissions for corporate travel by supporting efforts to stop deforestation and drive sustainable economic growth in the Amazonian Basin.,27,BristolMyersSquibb,0004,0887,rel
28,"Between 2019 and 2020, the total contribution made equates to 6,723 metric tonnes of CO2 sequestered—equivalent",16,"Between 2019 and 2020, the total contribution made equates to 6,723 metric tonnes of CO2 sequestered—equivalent to the GHG emissions produced by an average passenger vehicle driving 15,766,547 miles.",29,BristolMyersSquibb,0004,0892,rel
29,"As part of our Sustainability 2020 Goals, we transitioned Orencia’s packaging to a high product density lightweight packaging, leading to: 320,000 tons in annual CO2e emissions reduction.",27,"As part of our Sustainability 2020 Goals, we transitioned Orencia’s packaging to a high product density lightweight packaging, leading to: 320,000 tons in annual CO2e emissions reduction.",27,BristolMyersSquibb,0004,0975,rel
30,"In 2020, Pall’s facility in Bad Kreuznach, Germany purchased 8,919 MT CO2e allowances as part of the EU Emissions Trading System, and Pall also purchased 285 MT CO2e offsets to commemorate Earth Day.",33,"ENVIRONMENT In 2020, Pall’s facility in Bad Kreuznach, Germany purchased 8,919 MT CO2e allowances as part of the EU Emissions Trading System, and Pall also purchased 285 MT CO2e offsets to commemorate Earth Day.",34,Danaher,0005,0522,rel
31,Progress: Produced or procured 52% of electricity from renewable energy sources.,11,Health for Humanity 2025 Goals | Environmental Health Renewable Electricity Carbon Neutrality for Our Operations (by 2030) Scope 3 Emissions Reductions (by 2030) Progress: Produced or procured 52% of electricity from renewable energy sources.,34,johnsonandjohnson,0006,1070,rel
32,Progress: 34% reduction in Scope 1 + 2 carbon emissions vs. 2016 baseline.,13,Signed four new renewable Power Purchase Agreements (PPAs)—one in North America and three in Europe—as well as two Utility Green Tariff contracts in the U.S. Progress: 34% reduction in Scope 1 + 2 carbon emissions vs. 2016 baseline.,38,johnsonandjohnson,0006,1071,rel
33,Progress: +1% increase in greenhouse gas (GHG) emissions – Scope 3 (upstream) vs. 2016 baseline.,15,Progress: +1% increase in greenhouse gas (GHG) emissions – Scope 3 (upstream) vs. 2016 baseline.,15,johnsonandjohnson,0006,1073,rel
34,Johnson & Johnson maintains more than 50 on-site renewable energy systems in 17 countries and has executed multiple deals for off-site renewable electricity procurement.,24,Johnson & Johnson maintains more than 50 on-site renewable energy systems in 17 countries and has executed multiple deals for off-site renewable electricity procurement.,24,johnsonandjohnson,0006,1090,rel
35,"In 2021, Johnson & Johnson signed four new renewable Power Purchase Agreements (PPAs)—one in North America and three in Europe—as well as two Utility Green Tariff contracts in the United States.",31,"In 2021, Johnson & Johnson signed four new renewable Power Purchase Agreements (PPAs)—one in North America and three in Europe—as well as two Utility Green Tariff contracts in the United States.",31,johnsonandjohnson,0006,1091,rel
36,These On-Site Generated Energy Use by Type (TJ)*,8,On-Site Generated Energy Use by Type (TJ)* * Results from completed projects.,12,johnsonandjohnson,0006,1093,rel
37,"We continued to expand the installation of on-site solar arrays at our facilities, with new installations in 2021 in China, Colombia, South Africa and Thailand.",25,"Expanding solar energy: We continued to expand the installation of on-site solar arrays at our facilities, with new installations in 2021 in China, Colombia, South Africa and Thailand.",28,johnsonandjohnson,0006,1103,rel
38,"New this year was the introduction of on-site PPA structure in the form of multiyear “energy as a service” contracts at two sites, enabling GHG-reduction benefits without the need for capital investment.",32,"New this year was the introduction of on-site PPA structure in the form of multiyear “energy as a service” contracts at two sites, enabling GHG-reduction benefits without the need for capital investment.",32,johnsonandjohnson,0006,1104,rel
39,"At one of the largest manufacturing sites in South Africa, the Cape Town installation represented the first renewable electricity initiative for Johnson & Johnson in South Africa.",27,"At one of the largest manufacturing sites in South Africa, the Cape Town installation represented the first renewable electricity initiative for Johnson & Johnson in South Africa.",27,johnsonandjohnson,0006,1105,rel
40,"As part of our ongoing efforts to leverage data science across our operations, in 2021, we automated a manual freight load planning process to produce a 3D loading plan that optimizes space utilization of shipping containers, resulting in lower GHG emissions from shipping, a faster loading process and cost savings.",50,"Reducing carbon emissions by land, air and sea: As part of our ongoing efforts to leverage data science across our operations, in 2021, we automated a manual freight load planning process to produce a 3D loading plan that optimizes space utilization of shipping containers, resulting in lower GHG emissions from shipping, a faster loading process and cost savings.",58,johnsonandjohnson,0006,1106,rel
41,"In Europe, we identified opportunities to switch deliveries from our Belgium distribution center to Denmark, France and Spain from air to road—significantly reducing the carbon emissions with minimal impact to customer service.",32,"In Europe, we identified opportunities to switch deliveries from our Belgium distribution center to Denmark, France and Spain from air to road—significantly reducing the carbon emissions with minimal impact to customer service.",32,johnsonandjohnson,0006,1107,rel
42,"In 2021, for example, for application in our late-stage product portfolio, we achieved process intensification and highly efficient processes via biocatalysis and organocatalysis.",23,"In 2021, for example, for application in our late-stage product portfolio, we achieved process intensification and highly efficient processes via biocatalysis and organocatalysis.",23,johnsonandjohnson,0006,1155,rel
43,"Biocatalysis and organocatalysis enable a reduction in the use of organic solvents and generate lower levels of organic waste, resulting in fewer GHG emissions.",24,"Biocatalysis and organocatalysis enable a reduction in the use of organic solvents and generate lower levels of organic waste, resulting in fewer GHG emissions.",24,johnsonandjohnson,0006,1156,rel
44,"Throughout 2021, absolute Scope 1 and 2 emissions production increased by 3.3% compared to 2020.",15,"OUR 2021 PERFORMANCE Throughout 2021, absolute Scope 1 and 2 emissions production increased by 3.3% compared to 2020.",18,Abbott,0008,0728,rel
45,"When adjusted for sales, Scope 1 and 2 emissions decreased 17% over this same time period.",16,"When adjusted for sales, Scope 1 and 2 emissions decreased 17% over this same time period.",16,Abbott,0008,0729,rel
46,More than 200 metric tons CO2e annual reduction were realized by installing a boiler oxygen management system in our three steam boilers.,22,More than 200 metric tons CO2e annual reduction were realized by installing a boiler oxygen management system in our three steam boilers.,22,Abbott,0008,0737,rel
47,"Another project to upgrade cooling-tower fins, louvres and in-fills resulted in an annual reduction of about 250 metric tons CO2e.",20,"Another project to upgrade cooling-tower fins, louvres and in-fills resulted in an annual reduction of about 250 metric tons CO2e.",20,Abbott,0008,0739,rel
48,"This switch also resulted in a financial saving, plus an environmental benefit of an annual GHG emission reduction of about 20 metric tons.",23,"This switch also resulted in a financial saving, plus an environmental benefit of an annual GHG emission reduction of about 20 metric tons.",23,Abbott,0008,0741,rel
49,"In 2021, we purchased 190 million kWh of low-carbon and renewable energy, resulting in savings of 80,000 metric tons of CO2e.",21,"In 2021, we purchased 190 million kWh of low-carbon and renewable energy, resulting in savings of 80,000 metric tons of CO2e.",21,Abbott,0008,0748,rel
50,"In addition, we also generated 1.8 million kWh from solar installations at eight of our sites.",16,"In addition, we also generated 1.8 million kWh from solar installations at eight of our sites.",16,Abbott,0008,0749,rel
51,"Scope 1 and 2 Carbon Emissions 1,000 Metric Tons CO2e Scope 1 and 2 Carbon Emissions Intensity — Normalized to Sales Metric Tons CO2e per $ Million Sales",28,"Total (Scope 1 and Scope 2) Market-Based CO2e Emissions(j),(k) Total (Scope 1 and Scope 2) Location-Based CO2e Emissions Purchased Fuels (Scope 1) CO2e Emissions(l) Refrigerant (Scope 1) CO2e Emissions(m) Total Direct (Scope 1) CO2e Emissions Purchased Energy (Scope 2) Market-Based CO2e Emissions(j),(k) Purchased Energy (Scope 2) Location-Based CO2e Emissions(n) 930 1,010 524 8 533 397 478 900 977 489 9 498 402 479 962 1,041 530 10 540 422 502 980 1,056 525 10 535 445 520 Total (Scope 1 and Scope 2) Market-Based CO2e Emissions(k) Total (Scope 1 and Scope 2) Location-Based CO2e Emissions Total Direct (Scope 1) CO2e Emissions(l) Purchased Energy (Scope 2) Market-Based CO2e Emissions(j),(k) Purchased Energy (Scope 2) Location-Based CO2e Emissions(l) 22 23 12 9 11 26 28 14 12 14 30 33 17 13 16 32 35 18 15 17 Key Environmental Metrics — Energy and Emissions ENERGY AND EMISSIONS GLOBAL PERFORMANCE Scope 1 and 2 Carbon Emissions 1,000 Metric Tons CO2e Scope 1 and 2 Carbon Emissions Intensity — Normalized to Sales Metric Tons CO2e per $ Million Sales 2021 2020 2019 2018(i) -17.0%(h) -5%(g) 2030 GOAL 2021 2020 2019 2018(i) 3.3%(h) Totals and percentage changes may differ from listed metrics due to rounding.",200,Abbott,0008,1513,rel
52,"In 2021, we achieved a 12% reduction in absolute Scope 1 and Scope 2 emissions compared to our 2018 baseline.",20,"The key components of our framework include: Energy & emissions Scope 1 and Scope 2 emissions In 2021, we achieved a 12% reduction in absolute Scope 1 and Scope 2 emissions compared to our 2018 baseline.",36,ThermoFisherScientifiic,0009,0540,rel
53,"Over the past year of operational growth alone, our Scope 1 and Scope 2 carbon intensity equalled 16 metric tons of carbon dioxide per million USD in revenue, down from 19 in 2020 and 27 prior to the pandemic.",39,"Over the past year of operational growth alone, our Scope 1 and Scope 2 carbon intensity equalled 16 metric tons of carbon dioxide per million USD in revenue, down from 19 in 2020 and 27 prior to the pandemic.",39,ThermoFisherScientifiic,0009,0542,rel
54,Renewable electricity procurement is critical to our near-term strategy.,9,Renewable electricity procurement is critical to our near-term strategy.,9,ThermoFisherScientifiic,0009,0548,rel
55,"We achieved a new record in 2021, with 22% of global electricity coming from renewable sources, a 69% increase over the prior year.",23,"We achieved a new record in 2021, with 22% of global electricity coming from renewable sources, a 69% increase over the prior year.",23,ThermoFisherScientifiic,0009,0549,rel
56,"Scope 2, market based (electricity and steam)† 314,972",8,"Communities Description Unit 2021 Colleague and matching gift donations20 $USD Millions 5.1 Volunteer hours donated to the community21 Hours 105,000+ Students reached through STEM programs22 # 100,000+ Educators reached through STEM programs23 # 6,600+ Number of STEM events24 # 1,050+ Environment Description Unit 2021 Sustainable products ENERGY STAR-certified products # 250+ ACT-labeled products* # 470 Greener product categories25 # 60 Environmental indicators26* Climate Scope 1 (fossil fuels and refrigerants)† Metric tons CO2e (MTCO2e) 298,043 Scope 2, market based (electricity and steam)† MTCO2e 314,972 Total: Scope 1 and 2 MTCO2e 613,015 Scope 1 and 2 absolute reduction since 2018 (Target: 30% by 2030) % 12 Scope 1 and 2 intensity MTCO2e / Millions $USD revenue 15.6 Scope 2, location based (electricity and steam)† MTCO2e 365,356 Scope 3 MTCO2e 11,232,116 Purchased goods and services (category 1) MTCO2e 6,121,014 Capital goods (category 2) MTCO2e 224,832 Upstream/downstream energy- and water-related activities (category 3) MTCO2e 130,493 Upstream/downstream distribution (category 4) MTCO2e 2,283,076 Waste generated in operations (category 5) MTCO2e 11,971 Business travel (category 6) MTCO2e 41,013 Colleague commuting and work from home (category 7) MTCO2e 190,837 Upstream leased assets (category 8) MTCO2e 0 Downstream transportation and distribution (category 9) MTCO2e —27 *This indicator or set of indicators is being included in this report for the first time.",212,ThermoFisherScientifiic,0009,0720,rel
57,"“It Nevertheless, as of January 1, 2022, Barrera’s team has placed orders for 195 electric vehicles, which have been assigned to field staff",23,"“Along with the sustainability benefits, they’re fun to drive!” Globally, Amgen’s field fleet represents around 15% of the Company’s overall carbon footprint, making it the third largest contributor of carbon emissions, behind Amgen’s manufacturing facilities in Juncos, Puerto Rico, and Thousand Oaks, Calif The goal of the pilot program is to capture lessons learned in preparation for launching a minimum of 1,800 electric vehicles on the road globally by 2027 “It will take global participation to help Amgen reach carbon neutrality32 by 2027,” said Yanina Barrera, Ph .D ., Principal Engineer, Engineering Technical Authority, who leads Amgen’s sustainability efforts to increase electrification33 of the field fleet to at least 30%, “ and electrifying our fleet in countries that are ready is critical to making that happen .” The pilot has not been without challenges, ranging from the lower mileage range of electric vehicles paired with limited charging infrastructure availability in some territories, and the lack of available vehicles due to supply chain issues Nevertheless, as of January 1, 2022, Barrera’s team has placed orders for 195 electric vehicles, which have been assigned to field staff Planning is also underway for deployment of all-electric vehicles in other geographies, and we have launched the program in the Netherlands and South Korea To support the transition, Amgen is providing home charger installation and hosting driver workshops to educate on issues such as public charging stations and reimbursement processes for electricity usage For Meeks, its an experience he has been glad to be part of “I look forward to driving the car -- It’s fun, it’s high tech, and it puts a smile on my face every time .” ELECTRIC VEHICLE PILOT PROGRAM ADVANCES CARBON NEUTRALITY GOAL32 32 Carbon neutrality goal refers to Scope 1 and 2 emissions 33 Based on a 2019 baseline 50 | ENVIRONMENTAL, SOCIAL & GOVERNANCE REPORT 2021",308,Amgen,0010,0121,rel
58,"ENERGY In 2021, we increased the amount of renewable energy in our purchased electricity to 79% compared to 41% in 2020 We purchased in-country renewable energy certificates to make our facilities in Thousand Oaks, CA; West Greenwich, RI; Louisville, KY; Cambridge, MA; Breda, Netherlands; and Singapore use 100% renewable electricity This 2021 Energy Use by Source",56,"Healthy Planet 51 | ENVIRONMENTAL, SOCIAL & GOVERNANCE REPORT 2021 Introduction COVID-19 Response Healthy People Healthy Society A Healthy Amgen Appendix ENVIRONMENTAL SUSTAINABILITY OTHER REPORTS The CDP is an international nonprofit organization and reporting platform that helps companies and cities disclose their environmental impacts Since 2010, Amgen has reported to the CDP and you can find our most recent CDP reports for Climate Change and Water here Our reports provide additional details about Amgen’s governance, strategy, risk management, metrics, and targets related to climate change and water Over time, CDP’s disclosure platform for climate change has evolved to contain over 25 questions (within its governance, risks and opportunities, strategy, targets and emissions modules) that are aligned with the recommendations of the Task Force on Climate-related Financial Disclosures, or TCFD; this platform is now nearly in full alignment with the TCFD We continue to report to the CDP as completely as possible and, in 2022, we are undertaking a TCFD-aligned scenario analysis assessment to improve our understanding of the physical and transitional effects of climate change as well as to inform our future reporting Additionally, while the Company’s 2027 environmental sustainability targets do not incorporate Scope 3 emissions, we continue exploring approaches to better understand this area, including identifying potential emissions reduction opportunities in our value chain 2021 PERFORMANCE DATA We measure and report on our overall carbon emissions, energy, water use, and waste disposed We include data gathered from 16 manufacturing, R&D, and distribution facilities located in North America, South America, Asia, and Europe, representing (based on square footage) approximately 88% of our operations For the remaining 12% of square footage, primarily administrative offices, we estimate energy usage to calculate carbon emissions We measure progress toward our targets by quantifying results independent of growth or contraction of our business We do not include facility or building closures or recently acquired facilities in our target progress Our 2021 environmental data have undergone a reasonable assurance audit Highlights of our environmental performance are presented below; more detailed data can be found here ENERGY In 2021, we increased the amount of renewable energy in our purchased electricity to 79% compared to 41% in 2020 We purchased in-country renewable energy certificates to make our facilities in Thousand Oaks, CA; West Greenwich, RI; Louisville, KY; Cambridge, MA; Breda, Netherlands; and Singapore use 100% renewable electricity This is in addition to our GreenPower Purchase Plans with local utilities at our facility in Ireland and our two locations in Great Britain 2021 Energy Use by Source (1,000 GJ) 7 383 1,131 1 609 1,060 7 383 1,131 1 609 1,060 Renewables Fossil Fuel Nuclear Natural Gas Diesel Propane",441,Amgen,0010,0122,rel
59,"Carbon emissions from onsite combustion of fuel and purchased energy in 2021 decreased by 88,000 metric tons (MT) from 2020 This represents a 36% reduction from the previous year and was primarily achieved through the increased procurement of renewable electricity, as discussed above, for our North American facilities Carbon * ENVIRONMENTAL",51,"Healthy Planet 52 | ENVIRONMENTAL, SOCIAL & GOVERNANCE REPORT 2021 Introduction COVID-19 Response Healthy People Healthy Society A Healthy Amgen Appendix CARBON Carbon emissions from onsite combustion of fuel and purchased energy in 2021 decreased by 88,000 metric tons (MT) from 2020 This represents a 36% reduction from the previous year and was primarily achieved through the increased procurement of renewable electricity, as discussed above, for our North American facilities Carbon Emissions From Onsite Combustion of Fuel and Purchased Energy (1,000 MT) Water Intake (1,000 CM) Waste Generation (MT) 100 1000 500 2000 200 2500 2000 1500 6000 4000 300 3000 1000 8000 400 3500 12000 2007* 2007* 2007* 2019** 2019** 2019** 2020 2020 2020 2021 2021 2021 133 977 2,238 7,466 129 155 2,823 416 3,286 6,604 3,542 133 977 6,329 133 977 6,678 249 2,146 3,490 243 2,355 3,163 Carbon Emissions Water Intake Waste Disposed Annual Carbon Emissions Avoided 2007-2019 Annual Water Intake Avoided 2007-2019 Waste Recycled, Composted, Incinerated With Energy Recovery 2007-2019 Annual Carbon Emissions Avoided 2020-Present Annual Water Intake Avoided 2020-Present Reductions in Waste Disposed 2020-Present 6 4 55 183 884 WATER Our total water usage in 2021 decreased by 117,000 cubic meters (CM) from 2020 Water usage decreases are a result of water reclamation projects, irrigation control enhancements and completion of equipment commissioning (which temporarily increased water usage in 2020) Since 2007, we have avoided the usage of 1 million CM annually through the implementation of water innovation and efficiency projects WASTE Waste disposed decreased in 2021 primarily due to an increase in the Amgen Rhode Island waste-to-energy conversion at a nearby facility The Amgen Rhode Island manufacturing facilities now divert 80% of landfill waste to the waste-to-energy facility * Amgen Sustainability program base year ** 2027 Plan base year ENVIRONMENTAL SUSTAINABILITY",297,Amgen,0010,0123,rel
60,"For example, renewable liquid fuels like hydrotreated vegetable oil (HVO) are being used in our C175-20 engines to provide stand by power at a Microsoft data center in Sweden.",29,"For example, renewable liquid fuels like hydrotreated vegetable oil (HVO) are being used in our C175-20 engines to provide stand by power at a Microsoft data center in Sweden.",29,Caterpillar,0011,0183,rel
61,HVO can reduce carbon intensity by 45% to 85% versus diesel.,11,HVO can reduce carbon intensity by 45% to 85% versus diesel.,11,Caterpillar,0011,0184,rel
62,"The D6E XE high-drive dozer, for example, offers up to 35% better fuel efficiency and up to 23% less fuel usage than previous models.",24,"The D6E XE high-drive dozer, for example, offers up to 35% better fuel efficiency and up to 23% less fuel usage than previous models.",24,Caterpillar,0011,0198,rel
63,"The 795 electric drive mining truck with a diesel-electric drivetrain has been paired with a trolley-assist system that allows the truck to use electric power while traveling uphill, and then switch back to diesel operation if electricity isn’t readily available.",40,"The 795 electric drive mining truck with a diesel-electric drivetrain has been paired with a trolley-assist system that allows the truck to use electric power while traveling uphill, and then switch back to diesel operation if electricity isn’t readily available.",40,Caterpillar,0011,0199,rel
64,The trolley system reduces fuel burn by more than 90% while on trolley.,13,The trolley system reduces fuel burn by more than 90% while on trolley.,13,Caterpillar,0011,0200,rel
65,We began offering generator sets configured to use 100% hydrogen and automated fleets of mining machinery.,16,We began offering generator sets configured to use 100% hydrogen and automated fleets of mining machinery.,16,Caterpillar,0011,0210,rel
66,"Customers can reduce emissions up to 45% utilizing products with advanced technology such as the D6 XE, 966 XE, 972 XE, 980 XE, 982 XE, 320 or 336.",28,"CATERPILLAR 2021 SUSTAINABILITY REPORT 24 COMMITMENT TO MORE SUSTAINABLE PRODUCTS Customers can reduce emissions up to 45% utilizing products with advanced technology such as the D6 XE, 966 XE, 972 XE, 980 XE, 982 XE, 320 or 336.",38,Caterpillar,0011,0218,rel
67,"Further, Deep system integration of the Cat CVT, engine, hydraulic and cooling systems significantly improve fuel efficiency up to 35%.",20,"Deep system integration of the Cat CVT, engine, hydraulic and cooling systems significantly improve fuel efficiency up to 35%.",19,Caterpillar,0011,0224,rel
68,The Next Gen Cat 966 XE and 972 XE Wheel Loaders — updated in late 2021—also improve fuel efficiencies up to 35% compared to the previous powershift models.,28,The Next Gen Cat 966 XE and 972 XE Wheel Loaders — updated in late 2021—also improve fuel efficiencies up to 35% compared to the previous powershift models.,28,Caterpillar,0011,0225,rel
69,"The D11 XE large dozer is our highest producing, most fuel-efficient Cat dozer ever.",14,"CATERPILLAR 2021 SUSTAINABILITY REPORT 26 FUEL EFFICIENT LARGE DOZERS The D11 XE large dozer is our highest producing, most fuel-efficient Cat dozer ever.",23,Caterpillar,0011,0236,rel
70,"Equipped with an electric drive powertrain, it reduces fuel consumption by up to 25% with a machine lifespan up to 20% longer.",22,"Equipped with an electric drive powertrain, it reduces fuel consumption by up to 25% with a machine lifespan up to 20% longer.",22,Caterpillar,0011,0237,rel
71,"We also updated our D10 series dozers, which now use 4% less fuel while offering a 3% boost in productivity.",20,"We also updated our D10 series dozers, which now use 4% less fuel while offering a 3% boost in productivity.",20,Caterpillar,0011,0238,rel
72,The Cat 992 Large Wheel Loader has set the standard in its size class for more than 50 years.,19,REDUCED EMISSIONS LARGE WHEEL LOADERS The Cat 992 Large Wheel Loader has set the standard in its size class for more than 50 years.,24,Caterpillar,0011,0239,rel
73,"In 2021, we raised the bar with our new 992, which has been demonstrated to produce up to 32% less emissions than its 992K counterpart.",25,"In 2021, we raised the bar with our new 992, which has been demonstrated to produce up to 32% less emissions than its 992K counterpart.",25,Caterpillar,0011,0240,rel
