,matched_rel,original_rel,company_label,matched_rel_only
10,"('Manufacturing facilities in Fegersheim, France and Sesto, Italy have solar arrays of 62 kW and 145 kW, respectively.', 100)","Manufacturing facilities in Fegersheim, France and Sesto, Italy have solar arrays of 62 kW and 145 kW, respectively.",EliLilly,"Manufacturing facilities in Fegersheim, France and Sesto, Italy have solar arrays of 62 kW and 145 kW, respectively."
11,"('India – In 2019, Lilly India began operating a rooftop solar array on its administrative building in Gurugram (Gurgaon), India.', 100)","In 2019, Lilly India began operating a rooftop solar array on its administrative building in Gurugram (Gurgaon), India.",EliLilly,"India – In 2019, Lilly India began operating a rooftop solar array on its administrative building in Gurugram (Gurgaon), India."
12,"('The 40-kW capacity solar panels will help reduce Lilly’s carbon footprint in the city – a key priority due to rising pollution levels.', 100)",The 40-kW capacity solar panels will help reduce Lilly’s carbon footprint in the city – a key priority due to rising pollution levels.,EliLilly,The 40-kW capacity solar panels will help reduce Lilly’s carbon footprint in the city – a key priority due to rising pollution levels.
13,"('The solar panels supply approximately 10% of the site’s energy needs.', 100)",The solar panels supply approximately 10% of the site’s energy needs.,EliLilly,The solar panels supply approximately 10% of the site’s energy needs.
14,"('For example, Lilly’s �eet in Japan consists of approximately 80% hybrid vehicles, and our a�liate in Germany has begun including electric vehicles in their �eet offering.', 100)","For example, Lilly’s �eet in Japan consists of approximately 80% hybrid vehicles, and our a�liate in Germany has begun including electric vehicles in their �eet offering.",EliLilly,"For example, Lilly’s �eet in Japan consists of approximately 80% hybrid vehicles, and our a�liate in Germany has begun including electric vehicles in their �eet offering."
16,"('These projects will address approximately 35 percent of our company’s  Scope 2 emissions by collectively adding 145 megawatts (MW) of solar  and wind energy to the grid.', 99)",These projects will address approximately 35 percent of our company’s Scope 2 emissions by collectively adding 145 megawatts (MW) of solar and wind energy to the grid.,Merck,These projects will address approximately 35 percent of our company’s  Scope 2 emissions by collectively adding 145 megawatts (MW) of solar  and wind energy to the grid.
17,"('These agreements follow a 2018 U.S.   wind VPPA, which has added 60 MW of new renewable energy  capacity, while providing our company with the associated renewable   energy credits.', 97)","These agreements follow a 2018 U.S. wind VPPA, which has added 60 MW of new renewable energy capacity, while providing our company with the associated renewable energy credits.",Merck,"These agreements follow a 2018 U.S.   wind VPPA, which has added 60 MW of new renewable energy  capacity, while providing our company with the associated renewable   energy credits."
18,"('• 40 percent of our U.S. fleet are now partial-zero-emission vehicles  (PZEV), and we are expanding our use of hybrid vehicles.', 100)","Our company recently signed three virtual power purchase agreements 40 percent of our U.S. fleet are now partial-zero-emission vehicles (PZEV), and we are expanding our use of hybrid vehicles.",Merck,"• 40 percent of our U.S. fleet are now partial-zero-emission vehicles  (PZEV), and we are expanding our use of hybrid vehicles."
19,"('• Over 50 percent of the vehicles being utilized in our Asia/Pacific  markets are hybrids.', 99)",Over 50 percent of the vehicles being utilized in our Asia/Pacific markets are hybrids.,Merck,• Over 50 percent of the vehicles being utilized in our Asia/Pacific  markets are hybrids.
20,"('Vehicle fleet Approximately nine percent of our total Scope 1 and 2 GHG emissions are  associated with our vehicle fleet.', 99)",Approximately nine percent of our total Scope 1 and 2 GHG emissions are associated with our vehicle fleet.,Merck,Vehicle fleet Approximately nine percent of our total Scope 1 and 2 GHG emissions are  associated with our vehicle fleet.
21,"('GRI 302-1 Energy\tconsumption\twithin\tthe\torganization\t  (Scopes\t1+2) GRI 302-4 Energy\treductions Total energy use  2016 2017 2018 2019 2020 Total energy use (GJ) 20,913,432 19,418,800 19,313,900 18,674,800 18,033,385 Scope 1 and location-based Scope 2 energy use (% of total)1 2016 2017 2018 2019 2020 Natural gas (Scope 1) 61% 60% 63% 63% 65% Purchased electricity (Scope 2)2,3 23% 23% 23% 24% 24% Fleet fuel (Scope 1) 12% 13% 10% 9% 7% Fuel oil (Scope 1) 1% 2% 2% 2% 2% Purchased steam (Scope 2) 2% 2% 2% 2% 2% Bio-Fuel (Scope 1) 0.4% 0.6% 0.6% 0.6% 0.7% Renewable energy generated and used onsite (Scope 1)4 0.04% 0.04% 0.05% 0.05% 0.05% Spent solvents (Scope 1 ) 0.1% 0.0% 0.0% 0.0% 0.0% Coal (Scope 1) 0.0% 0.0% 0.0% 0.0% 0.0% \t\t\tNote:\tWe\thave\tdefined\t“purchased\telectricity”\tas\telectricity\tsourced\tfrom\texternal\tsuppliers\tas\twell\tas\trenewable\telectricity\tthat\twas\tgenerated\tand\tutilized\tonsite\twhere\twe\tretained\tthe\t  renewable\tattributes\tor\twhere\twe\thave\tobtained\trenewable\tattributes\tthrough\tcontract.', 98)",Renewable energy generated and used onsite (Scope 1)4 0.05%,Merck,"GRI 302-1 Energy	consumption	within	the	organization	  (Scopes	1+2) GRI 302-4 Energy	reductions Total energy use  2016 2017 2018 2019 2020 Total energy use (GJ) 20,913,432 19,418,800 19,313,900 18,674,800 18,033,385 Scope 1 and location-based Scope 2 energy use (% of total)1 2016 2017 2018 2019 2020 Natural gas (Scope 1) 61% 60% 63% 63% 65% Purchased electricity (Scope 2)2,3 23% 23% 23% 24% 24% Fleet fuel (Scope 1) 12% 13% 10% 9% 7% Fuel oil (Scope 1) 1% 2% 2% 2% 2% Purchased steam (Scope 2) 2% 2% 2% 2% 2% Bio-Fuel (Scope 1) 0.4% 0.6% 0.6% 0.6% 0.7% Renewable energy generated and used onsite (Scope 1)4 0.04% 0.04% 0.05% 0.05% 0.05% Spent solvents (Scope 1 ) 0.1% 0.0% 0.0% 0.0% 0.0% Coal (Scope 1) 0.0% 0.0% 0.0% 0.0% 0.0% 			Note:	We	have	defined	“purchased	electricity”	as	electricity	sourced	from	external	suppliers	as	well	as	renewable	electricity	that	was	generated	and	utilized	onsite	where	we	retained	the	  renewable	attributes	or	where	we	have	obtained	renewable	attributes	through	contract."
23,"('On Track: 8% reduction in Scopes 1 & 2 GHG emissions On Track: 37.7% of our purchased electricity comes   from renewables Progress:  Progress:  Merck ESG Progress Report 2020/2021 100 Overview GRI/SASB: General\tdisclosures Economic Environmental Social Indices', 97)",On Track: 37.7% of our purchased electricity comes from renewables,Merck,On Track: 8% reduction in Scopes 1 & 2 GHG emissions On Track: 37.7% of our purchased electricity comes   from renewables Progress:  Progress:  Merck ESG Progress Report 2020/2021 100 Overview GRI/SASB: General	disclosures Economic Environmental Social Indices
24,"('Reduction of GHG emissions  From 2019 to 2020, we reduced our year-over-year Scope 1 and   Scope 2 market-based GHG emissions by eight percent due to our  continued focus on energy efficiency and an increased utilization of  renewable energy.', 98)","From 2019 to 2020, we reduced our year-over-year Scope 1 and Scope 2 market-based GHG emissions by eight percent due to our continued focus on energy efficiency and an increased utilization of renewable energy.",Merck,"Reduction of GHG emissions  From 2019 to 2020, we reduced our year-over-year Scope 1 and   Scope 2 market-based GHG emissions by eight percent due to our  continued focus on energy efficiency and an increased utilization of  renewable energy."
25,"('The decrease in SOx emissions from 2019 to 2020 can be attributed to  the use of fuel with a lower sulfur content.', 99)",The decrease in SOx emissions from 2019 to 2020 can be attributed to the use of fuel with a lower sulfur content.,Merck,The decrease in SOx emissions from 2019 to 2020 can be attributed to  the use of fuel with a lower sulfur content.
26,"('VOC emissions decreased from 2019 to 2020 due to variations in  production and because of continuous data collection improvements  with the adoption of more accurate emission-tracking methods.', 99)",VOC emissions decreased from 2019 to 2020 due to variations in production and because of continuous data collection improvements with the adoption of more accurate emission-tracking methods.,Merck,VOC emissions decreased from 2019 to 2020 due to variations in  production and because of continuous data collection improvements  with the adoption of more accurate emission-tracking methods.
27,"('**  We have photovoltaic   installations at five sites in the  U.S., Switzerland and China,   providing a combined annual  electricity output of 3,632,000  kWh, equivalent to taking  560 vehicles  off the road for one year.', 96)","We have photovoltaic installations at five sites in the U.S., Switzerland and China, providing a combined annual electricity output of 3,632,000 kWh, equivalent to taking",BristolMyersSquibb,"**  We have photovoltaic   installations at five sites in the  U.S., Switzerland and China,   providing a combined annual  electricity output of 3,632,000  kWh, equivalent to taking  560 vehicles  off the road for one year."
28,"('org to develop a program to offset carbon emissions for  corporate travel by supporting efforts to stop deforestation  and drive sustainable economic growth in the Amazonian  Basin.', 98)",org to develop a program to offset carbon emissions for corporate travel by supporting efforts to stop deforestation and drive sustainable economic growth in the Amazonian Basin.,BristolMyersSquibb,org to develop a program to offset carbon emissions for  corporate travel by supporting efforts to stop deforestation  and drive sustainable economic growth in the Amazonian  Basin.
29,"('Between 2019 and 2020, the total contribution made equates to  6,723 metric tonnes of CO2 sequestered—equivalent to the GHG  emissions produced by an average passenger vehicle driving  15,766,547 miles.', 99)","Between 2019 and 2020, the total contribution made equates to 6,723 metric tonnes of CO2 sequestered—equivalent",BristolMyersSquibb,"Between 2019 and 2020, the total contribution made equates to  6,723 metric tonnes of CO2 sequestered—equivalent to the GHG  emissions produced by an average passenger vehicle driving  15,766,547 miles."
30,"('As part of our Sustainability 2020 Goals,   we transitioned Orencia’s packaging to a   high product density lightweight packaging,  leading to: 320,000 tons in annual CO2e emissions reduction.', 97)","As part of our Sustainability 2020 Goals, we transitioned Orencia’s packaging to a high product density lightweight packaging, leading to: 320,000 tons in annual CO2e emissions reduction.",BristolMyersSquibb,"As part of our Sustainability 2020 Goals,   we transitioned Orencia’s packaging to a   high product density lightweight packaging,  leading to: 320,000 tons in annual CO2e emissions reduction."
31,"('ENVIRONMENT In 2020, Pall’s facility in Bad Kreuznach, Germany purchased 8,919 MT  CO2e allowances as part of the EU Emissions Trading System, and Pall  also purchased 285 MT CO2e offsets to commemorate Earth Day.', 99)","In 2020, Pall’s facility in Bad Kreuznach, Germany purchased 8,919 MT CO2e allowances as part of the EU Emissions Trading System, and Pall also purchased 285 MT CO2e offsets to commemorate Earth Day.",Danaher,"ENVIRONMENT In 2020, Pall’s facility in Bad Kreuznach, Germany purchased 8,919 MT  CO2e allowances as part of the EU Emissions Trading System, and Pall  also purchased 285 MT CO2e offsets to commemorate Earth Day."
33,"('Health for Humanity 2025 Goals | Environmental Health Renewable  Electricity Carbon   Neutrality for   Our Operations  (by 2030) Scope 3   Emissions  Reductions   (by 2030) Progress: Produced or procured 52% of  electricity from renewable energy sources.', 99)",Progress: Produced or procured 52% of electricity from renewable energy sources.,johnsonandjohnson,Health for Humanity 2025 Goals | Environmental Health Renewable  Electricity Carbon   Neutrality for   Our Operations  (by 2030) Scope 3   Emissions  Reductions   (by 2030) Progress: Produced or procured 52% of  electricity from renewable energy sources.
34,"('Signed four new renewable Power Purchase  Agreements (PPAs)—one in North America   and three in Europe—as well as two Utility   Green Tariff contracts in the U.S. Progress: 34% reduction in Scope 1 + 2 carbon  emissions vs. 2016 baseline.', 99)",Progress: 34% reduction in Scope 1 + 2 carbon emissions vs. 2016 baseline.,johnsonandjohnson,Signed four new renewable Power Purchase  Agreements (PPAs)—one in North America   and three in Europe—as well as two Utility   Green Tariff contracts in the U.S. Progress: 34% reduction in Scope 1 + 2 carbon  emissions vs. 2016 baseline.
35,"('Progress: +1% increase in greenhouse gas (GHG)  emissions – Scope 3 (upstream) vs. 2016 baseline.', 99)",Progress: +1% increase in greenhouse gas (GHG) emissions – Scope 3 (upstream) vs. 2016 baseline.,johnsonandjohnson,Progress: +1% increase in greenhouse gas (GHG)  emissions – Scope 3 (upstream) vs. 2016 baseline.
36,"('Johnson & Johnson  maintains more than 50 on-site renewable energy systems  in 17 countries and has executed multiple deals for off-site  renewable electricity procurement.', 98)",Johnson & Johnson maintains more than 50 on-site renewable energy systems in 17 countries and has executed multiple deals for off-site renewable electricity procurement.,johnsonandjohnson,Johnson & Johnson  maintains more than 50 on-site renewable energy systems  in 17 countries and has executed multiple deals for off-site  renewable electricity procurement.
37,"('In 2021, Johnson &  Johnson signed four new renewable Power Purchase  Agreements (PPAs)—one in North America and three in  Europe—as well as two Utility Green Tariff contracts in the  United States.', 98)","In 2021, Johnson & Johnson signed four new renewable Power Purchase Agreements (PPAs)—one in North America and three in Europe—as well as two Utility Green Tariff contracts in the United States.",johnsonandjohnson,"In 2021, Johnson &  Johnson signed four new renewable Power Purchase  Agreements (PPAs)—one in North America and three in  Europe—as well as two Utility Green Tariff contracts in the  United States."
38,"('On-Site Generated Energy Use by Type (TJ)* * Results from completed projects.', 87)",These On-Site Generated Energy Use by Type (TJ)*,johnsonandjohnson,On-Site Generated Energy Use by Type (TJ)* * Results from completed projects.
39,"('Expanding solar energy: We continued to expand the installation of on-site  solar arrays at our facilities, with new installations in 2021 in China, Colombia,  South Africa and Thailand.', 99)","We continued to expand the installation of on-site solar arrays at our facilities, with new installations in 2021 in China, Colombia, South Africa and Thailand.",johnsonandjohnson,"Expanding solar energy: We continued to expand the installation of on-site  solar arrays at our facilities, with new installations in 2021 in China, Colombia,  South Africa and Thailand."
40,"('New this year was the introduction of on-site PPA  structure in the form of multiyear “energy as a service” contracts at two sites,  enabling GHG-reduction benefits without the need for capital investment.', 99)","New this year was the introduction of on-site PPA structure in the form of multiyear “energy as a service” contracts at two sites, enabling GHG-reduction benefits without the need for capital investment.",johnsonandjohnson,"New this year was the introduction of on-site PPA  structure in the form of multiyear “energy as a service” contracts at two sites,  enabling GHG-reduction benefits without the need for capital investment."
41,"('At one of the largest manufacturing sites in South Africa, the Cape Town  installation represented the first renewable electricity initiative for Johnson &  Johnson in South Africa.', 99)","At one of the largest manufacturing sites in South Africa, the Cape Town installation represented the first renewable electricity initiative for Johnson & Johnson in South Africa.",johnsonandjohnson,"At one of the largest manufacturing sites in South Africa, the Cape Town  installation represented the first renewable electricity initiative for Johnson &  Johnson in South Africa."
42,"('Reducing carbon emissions by land, air and sea: As part of our ongoing efforts  to leverage data science across our operations, in 2021, we automated a manual  freight load planning process to produce a 3D loading plan that optimizes  space utilization of shipping containers, resulting in lower GHG emissions from  shipping, a faster loading process and cost savings.', 99)","As part of our ongoing efforts to leverage data science across our operations, in 2021, we automated a manual freight load planning process to produce a 3D loading plan that optimizes space utilization of shipping containers, resulting in lower GHG emissions from shipping, a faster loading process and cost savings.",johnsonandjohnson,"Reducing carbon emissions by land, air and sea: As part of our ongoing efforts  to leverage data science across our operations, in 2021, we automated a manual  freight load planning process to produce a 3D loading plan that optimizes  space utilization of shipping containers, resulting in lower GHG emissions from  shipping, a faster loading process and cost savings."
43,"('In Europe, we identified  opportunities to switch deliveries from our Belgium distribution center to  Denmark, France and Spain from air to road—significantly reducing the carbon  emissions with minimal impact to customer service.', 99)","In Europe, we identified opportunities to switch deliveries from our Belgium distribution center to Denmark, France and Spain from air to road—significantly reducing the carbon emissions with minimal impact to customer service.",johnsonandjohnson,"In Europe, we identified  opportunities to switch deliveries from our Belgium distribution center to  Denmark, France and Spain from air to road—significantly reducing the carbon  emissions with minimal impact to customer service."
44,"('In 2021, for example, for application  in our late-stage product portfolio, we achieved process intensification and  highly efficient processes via biocatalysis and organocatalysis.', 99)","In 2021, for example, for application in our late-stage product portfolio, we achieved process intensification and highly efficient processes via biocatalysis and organocatalysis.",johnsonandjohnson,"In 2021, for example, for application  in our late-stage product portfolio, we achieved process intensification and  highly efficient processes via biocatalysis and organocatalysis."
45,"('Biocatalysis and  organocatalysis enable a reduction in the use of organic solvents and generate  lower levels of organic waste, resulting in fewer GHG emissions.', 99)","Biocatalysis and organocatalysis enable a reduction in the use of organic solvents and generate lower levels of organic waste, resulting in fewer GHG emissions.",johnsonandjohnson,"Biocatalysis and  organocatalysis enable a reduction in the use of organic solvents and generate  lower levels of organic waste, resulting in fewer GHG emissions."
47,"('OUR 2021 PERFORMANCE  Throughout 2021, absolute Scope 1 and 2  emissions production increased by 3.3%  compared to 2020.', 98)","Throughout 2021, absolute Scope 1 and 2 emissions production increased by 3.3% compared to 2020.",Abbott,"OUR 2021 PERFORMANCE  Throughout 2021, absolute Scope 1 and 2  emissions production increased by 3.3%  compared to 2020."
48,"('When adjusted for sales, Scope 1 and 2 emissions decreased 17% over  this same time period.', 99)","When adjusted for sales, Scope 1 and 2 emissions decreased 17% over this same time period.",Abbott,"When adjusted for sales, Scope 1 and 2 emissions decreased 17% over  this same time period."
49,"('More than 200 metric tons  CO2e annual reduction were realized by  installing a boiler oxygen management system  in our three steam boilers.', 98)",More than 200 metric tons CO2e annual reduction were realized by installing a boiler oxygen management system in our three steam boilers.,Abbott,More than 200 metric tons  CO2e annual reduction were realized by  installing a boiler oxygen management system  in our three steam boilers.
50,"('Another project to  upgrade cooling-tower fins, louvres and   in-fills resulted in an annual reduction of about  250 metric tons CO2e.', 97)","Another project to upgrade cooling-tower fins, louvres and in-fills resulted in an annual reduction of about 250 metric tons CO2e.",Abbott,"Another project to  upgrade cooling-tower fins, louvres and   in-fills resulted in an annual reduction of about  250 metric tons CO2e."
51,"('This switch  also resulted in a financial saving, plus an  environmental benefit of an annual GHG  emission reduction of about 20 metric tons.', 98)","This switch also resulted in a financial saving, plus an environmental benefit of an annual GHG emission reduction of about 20 metric tons.",Abbott,"This switch  also resulted in a financial saving, plus an  environmental benefit of an annual GHG  emission reduction of about 20 metric tons."
52,"('In 2021,  we purchased 190 million kWh of low-carbon  and renewable energy, resulting in savings of  80,000 metric tons of CO2e.', 98)","In 2021, we purchased 190 million kWh of low-carbon and renewable energy, resulting in savings of 80,000 metric tons of CO2e.",Abbott,"In 2021,  we purchased 190 million kWh of low-carbon  and renewable energy, resulting in savings of  80,000 metric tons of CO2e."
53,"('In addition, we also generated 1.8 million kWh from solar installations at eight  of our sites.', 99)","In addition, we also generated 1.8 million kWh from solar installations at eight of our sites.",Abbott,"In addition, we also generated 1.8 million kWh from solar installations at eight  of our sites."
54,"('Fuels  12   12   13   13  Purchased Steam, Hot Water and Chilled Water  6   6   5   5  Biofuels  0   0   0   0  Generated Electricity (Cogeneration) 0 0 0 0 Generated Electricity (Renewables) 0 0 0 0 Stationary Total  844  813 788 804 Mobile Sources Sales Fleet Gasoline 92 98 72 90 Sales Fleet Diesel 26 34 25 22 Aviation Fuel 6 6 4 5 Plant/Shuttle Fleet (Diesel, Gasoline, E85, Propane) 1 2 1 1 Mobile Total 125 140 103 118 Scope 1 and 2 CO2e Emissions by Division 1,000 Metric Tons CO2e 2018(i) 2019 2020 2021 Scope 1 and 2 Carbon Emissions Established Pharmaceuticals 32 31 31 28 Nutrition 51 49  45  42  Diagnostics 13 13 9 7 Medical Devices 9 8 8 6 Scope 1 and 2 CO2e Emissions Intensity by Division\xa0— Normalized to Sales Metric Tons CO2e per $Million Sales Scope 1 and 2 Carbon Emissions by Energy Source(o) 1,000 Metric Tons CO2e — Market-Based Factors KEY ENVIRONMENTAL METRICS\xa0— ENERGY AND EMISSIONS CONTINUED ENERGY AND EMISSIONS GLOBAL PERFORMANCE CONTINUED Totals and percentage changes may differ from listed metrics due to  rounding.', 86)","Scope 1 and 2 Carbon Emissions Intensity — Normalized to Sales Metric Tons CO2e per $ Million Sales Scope 1 and 2 Carbon Emissions 1,000 Metric Tons CO2e",Abbott,"Fuels  12   12   13   13  Purchased Steam, Hot Water and Chilled Water  6   6   5   5  Biofuels  0   0   0   0  Generated Electricity (Cogeneration) 0 0 0 0 Generated Electricity (Renewables) 0 0 0 0 Stationary Total  844  813 788 804 Mobile Sources Sales Fleet Gasoline 92 98 72 90 Sales Fleet Diesel 26 34 25 22 Aviation Fuel 6 6 4 5 Plant/Shuttle Fleet (Diesel, Gasoline, E85, Propane) 1 2 1 1 Mobile Total 125 140 103 118 Scope 1 and 2 CO2e Emissions by Division 1,000 Metric Tons CO2e 2018(i) 2019 2020 2021 Scope 1 and 2 Carbon Emissions Established Pharmaceuticals 32 31 31 28 Nutrition 51 49  45  42  Diagnostics 13 13 9 7 Medical Devices 9 8 8 6 Scope 1 and 2 CO2e Emissions Intensity by Division — Normalized to Sales Metric Tons CO2e per $Million Sales Scope 1 and 2 Carbon Emissions by Energy Source(o) 1,000 Metric Tons CO2e — Market-Based Factors KEY ENVIRONMENTAL METRICS — ENERGY AND EMISSIONS CONTINUED ENERGY AND EMISSIONS GLOBAL PERFORMANCE CONTINUED Totals and percentage changes may differ from listed metrics due to  rounding."
57,"('− In 2021, we achieved a 12% reduction in absolute Scope 1 and Scope 2 emissions compared to our 2018  baseline and a 1% reduction compared to the prior year.', 99)","In 2021, we achieved a 12% reduction in absolute Scope 1 and Scope 2 emissions compared to our 2018 baseline.",ThermoFisherScientifiic,"− In 2021, we achieved a 12% reduction in absolute Scope 1 and Scope 2 emissions compared to our 2018  baseline and a 1% reduction compared to the prior year."
58,"('Over the past year of  operational growth alone, our Scope 1  and Scope 2 carbon intensity equalled 16  metric tons of carbon dioxide per million  USD in revenue, down from 19 in 2020  and 27 prior to the pandemic.', 98)","Over the past year of operational growth alone, our Scope 1 and Scope 2 carbon intensity equalled 16 metric tons of carbon dioxide per million USD in revenue, down from 19 in 2020 and 27 prior to the pandemic.",ThermoFisherScientifiic,"Over the past year of  operational growth alone, our Scope 1  and Scope 2 carbon intensity equalled 16  metric tons of carbon dioxide per million  USD in revenue, down from 19 in 2020  and 27 prior to the pandemic."
59,"('Renewable electricity procurement is  critical to our near-term strategy.', 99)",Renewable electricity procurement is critical to our near-term strategy.,ThermoFisherScientifiic,Renewable electricity procurement is  critical to our near-term strategy.
60,"('We achieved a new record in 2021 with 22% of global electricity coming from renewable sources, a 69%  increase over the prior year.', 99)","We achieved a new record in 2021, with 22% of global electricity coming from renewable sources, a 69% increase over the prior year.",ThermoFisherScientifiic,"We achieved a new record in 2021 with 22% of global electricity coming from renewable sources, a 69%  increase over the prior year."
62,"('Communities Description Unit 2021 Colleague and matching gift donations20 $USD Millions 5.1  Volunteer hours donated to the community21 Hours 105,000+ Students reached through STEM programs22 # 100,000+ Educators reached through STEM programs23 # 6,600+ Number of STEM events24 # 1,050+ Environment Description Unit 2021 Sustainable products ENERGY STAR-certified products # 250+ ACT-labeled products* # 470 Greener product categories25 # 60 Environmental indicators26*  Climate Scope 1 (fossil fuels and refrigerants)† Metric tons CO2e (MTCO2e) 298,043 Scope 2, market based (electricity and steam)† MTCO2e 314,972  Total: Scope 1 and 2 MTCO2e 613,015 Scope 1 and 2 absolute reduction since 2018   (Target: 30% by 2030) % 12 Scope 1 and 2 intensity MTCO2e / Millions  $USD revenue 15.6 Scope 2, location based (electricity and steam)† MTCO2e 365,356  Scope 3\xa0 MTCO2e 11,232,116 \xa0 \xa0Purchased goods and services (category 1)\xa0 MTCO2e 6,121,014 \xa0 \xa0Capital goods (category 2) MTCO2e 224,832 \xa0 \xa0 Upstream/downstream energy- and water-related  activities (category 3) MTCO2e 130,493  \xa0 \xa0Upstream/downstream distribution (category 4)\xa0 MTCO2e 2,283,076  \xa0 \xa0Waste generated in operations (category 5) MTCO2e 11,971 \xa0 \xa0Business travel (category 6) MTCO2e 41,013 \xa0 \xa0Colleague commuting and work from home     (category 7)\xa0 MTCO2e 190,837 \xa0 \xa0Upstream leased assets (category 8) MTCO2e 0     Downstream transportation and distribution  (category 9) MTCO2e —27 *This indicator or set of indicators is being included in this report for the first time.', 89)","Scope 2, market based (electricity and steam)† 314,972",ThermoFisherScientifiic,"Communities Description Unit 2021 Colleague and matching gift donations20 $USD Millions 5.1  Volunteer hours donated to the community21 Hours 105,000+ Students reached through STEM programs22 # 100,000+ Educators reached through STEM programs23 # 6,600+ Number of STEM events24 # 1,050+ Environment Description Unit 2021 Sustainable products ENERGY STAR-certified products # 250+ ACT-labeled products* # 470 Greener product categories25 # 60 Environmental indicators26*  Climate Scope 1 (fossil fuels and refrigerants)† Metric tons CO2e (MTCO2e) 298,043 Scope 2, market based (electricity and steam)† MTCO2e 314,972  Total: Scope 1 and 2 MTCO2e 613,015 Scope 1 and 2 absolute reduction since 2018   (Target: 30% by 2030) % 12 Scope 1 and 2 intensity MTCO2e / Millions  $USD revenue 15.6 Scope 2, location based (electricity and steam)† MTCO2e 365,356  Scope 3  MTCO2e 11,232,116    Purchased goods and services (category 1)  MTCO2e 6,121,014    Capital goods (category 2) MTCO2e 224,832     Upstream/downstream energy- and water-related  activities (category 3) MTCO2e 130,493     Upstream/downstream distribution (category 4)  MTCO2e 2,283,076     Waste generated in operations (category 5) MTCO2e 11,971    Business travel (category 6) MTCO2e 41,013    Colleague commuting and work from home     (category 7)  MTCO2e 190,837    Upstream leased assets (category 8) MTCO2e 0     Downstream transportation and distribution  (category 9) MTCO2e —27 *This indicator or set of indicators is being included in this report for the first time."
