,n-gram,irr_count,rel_count,difference,perc difference
297,"programs, and",352.0,0.0,352.0,1.0
300,"RESPONSIBILITY, REPORT",348.0,0.0,348.0,1.0
307,"the, program",343.0,0.0,343.0,1.0
309,"information, on",341.0,0.0,341.0,1.0
313,"environmental, and",340.0,0.0,340.0,1.0
314,"is, an",339.0,0.0,339.0,1.0
316,"2021, SUSTAINABILITY",338.0,0.0,338.0,1.0
318,"training, and",338.0,0.0,338.0,1.0
319,"into, our",338.0,0.0,338.0,1.0
323,"and, communities",335.0,0.0,335.0,1.0
326,"Vice, President",331.0,0.0,331.0,1.0
328,"and, environmental",330.0,0.0,330.0,1.0
332,"Environmental, Social",327.0,0.0,327.0,1.0
336,"able, to",324.0,0.0,324.0,1.0
337,"equity, and",324.0,0.0,324.0,1.0
338,"the, potential",322.0,0.0,322.0,1.0
347,"Corporate, Governance",318.0,0.0,318.0,1.0
348,"our, communities",317.0,0.0,317.0,1.0
352,"in, place",314.0,0.0,314.0,1.0
353,"diversity, and",313.0,0.0,313.0,1.0
354,"We, continue",311.0,0.0,311.0,1.0
356,"2021, Sustainability",310.0,0.0,310.0,1.0
360,"Development, Report",305.0,0.0,305.0,1.0
361,"practices, and",305.0,0.0,305.0,1.0
363,"areas, of",304.0,0.0,304.0,1.0
366,"Environmental, Health",303.0,0.0,303.0,1.0
369,"and, performance",299.0,0.0,299.0,1.0
371,"supply, chains",298.0,0.0,298.0,1.0
372,"of, employees",298.0,0.0,298.0,1.0
375,"to, better",298.0,0.0,298.0,1.0
376,"Form, 10-K",297.0,0.0,297.0,1.0
377,"ways, to",297.0,0.0,297.0,1.0
378,"to, protect",297.0,0.0,297.0,1.0
382,"How, we",294.0,0.0,294.0,1.0
383,"more, sustainable",293.0,0.0,293.0,1.0
385,"people, and",293.0,0.0,293.0,1.0
386,"Annual, Report",293.0,0.0,293.0,1.0
387,"and, Safety",293.0,0.0,293.0,1.0
389,"the, right",292.0,0.0,292.0,1.0
390,"the, management",291.0,0.0,291.0,1.0
392,"Global, Impact",289.0,0.0,289.0,1.0
396,"we, create",287.0,0.0,287.0,1.0
397,"our, stakeholders",287.0,0.0,287.0,1.0
398,"about, the",287.0,0.0,287.0,1.0
402,"Our, Company",285.0,0.0,285.0,1.0
405,"Read, more",283.0,0.0,283.0,1.0
406,"and, compliance",283.0,0.0,283.0,1.0
408,"31, 2021",282.0,0.0,282.0,1.0
410,"REPORT, 2021",280.0,0.0,280.0,1.0
414,"goals, and",279.0,0.0,279.0,1.0
413,"SUSTAINABILITY, REPORT",279.0,0.0,279.0,1.0
415,"2021, 2020",278.0,0.0,278.0,1.0
416,"•, We",278.0,0.0,278.0,1.0
417,"team, members",276.0,0.0,276.0,1.0
418,"health, care",276.0,0.0,276.0,1.0
420,"performance, and",275.0,0.0,275.0,1.0
425,"Corporate, Responsibility",272.0,0.0,272.0,1.0
429,"smoke-free, products",271.0,0.0,271.0,1.0
428,"is, committed",271.0,0.0,271.0,1.0
426,"member, of",271.0,0.0,271.0,1.0
430,"—, —",270.0,0.0,270.0,1.0
433,"About, report",269.0,0.0,269.0,1.0
437,"and, regulations",266.0,0.0,266.0,1.0
438,"Our, ESG",266.0,0.0,266.0,1.0
439,"2020, 2019",265.0,0.0,265.0,1.0
441,"strive, to",265.0,0.0,265.0,1.0
446,"have, the",264.0,0.0,264.0,1.0
452,"Risk, Management",262.0,0.0,262.0,1.0
455,"Lowe, ’",260.0,0.0,260.0,1.0
456,"the, World",260.0,0.0,260.0,1.0
457,"Learn, more",259.0,0.0,259.0,1.0
458,"for, employees",259.0,0.0,259.0,1.0
460,"What, we",258.0,0.0,258.0,1.0
462,"AMERICAN, TOWER",256.0,0.0,256.0,1.0
463,"2022, Global",256.0,0.0,256.0,1.0
464,"and, sustainability",256.0,0.0,256.0,1.0
465,"how, to",255.0,0.0,255.0,1.0
468,"them, to",255.0,0.0,255.0,1.0
471,"laws, and",253.0,0.0,253.0,1.0
474,"employees, in",252.0,0.0,252.0,1.0
476,"positive, impact",251.0,0.0,251.0,1.0
477,"to, assess",251.0,0.0,251.0,1.0
478,"environmental, impact",251.0,0.0,251.0,1.0
479,"and, governance",251.0,0.0,251.0,1.0
481,"Who, we",250.0,0.0,250.0,1.0
482,"Site, spotlights",249.0,0.0,249.0,1.0
483,"Sustainable, Solutions",248.0,0.0,248.0,1.0
486,"REPORTING, DISCLOSURE",248.0,0.0,248.0,1.0
487,"not, only",248.0,0.0,248.0,1.0
489,"we, believe",247.0,0.0,247.0,1.0
490,"Global, Sustainability",247.0,0.0,247.0,1.0
491,"may, be",247.0,0.0,247.0,1.0
492,"3M, 2022",246.0,0.0,246.0,1.0
493,"create, About",246.0,0.0,246.0,1.0
497,"our, approach",246.0,0.0,246.0,1.0
498,"Report, improvinglives",245.0,0.0,245.0,1.0
499,"work, What",245.0,0.0,245.0,1.0
500,"are, How",245.0,0.0,245.0,1.0
501,"our, sustainability",245.0,0.0,245.0,1.0
507,"Planetary, Health",244.0,0.0,244.0,1.0
506,"Climate, Planetary",244.0,0.0,244.0,1.0
503,"all, employees",244.0,0.0,244.0,1.0
512,"local, communities",242.0,0.0,242.0,1.0
514,"improve, the",241.0,0.0,241.0,1.0
515,"approach, and",240.0,0.0,240.0,1.0
520,"to, understand",239.0,0.0,239.0,1.0
527,"who, are",236.0,0.0,236.0,1.0
528,"Transparency, Accountability",236.0,0.0,236.0,1.0
529,"spotlights, Who",236.0,0.0,236.0,1.0
532,"inclusion, and",234.0,0.0,234.0,1.0
533,"set, of",234.0,0.0,234.0,1.0
536,"NIKE, Inc",232.0,0.0,232.0,1.0
537,"our, environmental",232.0,0.0,232.0,1.0
538,"and, Human",231.0,0.0,231.0,1.0
541,"products, that",231.0,0.0,231.0,1.0
542,"Performance, Data",230.0,0.0,230.0,1.0
547,"and, progress",228.0,0.0,228.0,1.0
544,"PMI, ’",228.0,0.0,228.0,1.0
550,"engage, with",226.0,0.0,226.0,1.0
553,"raw, materials",226.0,0.0,226.0,1.0
554,"our, work",225.0,0.0,225.0,1.0
558,"Equity, Wellbeing",225.0,0.0,225.0,1.0
559,"Air, Products",225.0,0.0,225.0,1.0
560,"our, ESG",225.0,0.0,225.0,1.0
563,"changes, in",224.0,0.0,224.0,1.0
564,"Latin, America",224.0,0.0,224.0,1.0
567,"Diversity, Equity",223.0,0.0,223.0,1.0
568,"believe, that",222.0,0.0,222.0,1.0
569,"due, diligence",222.0,0.0,222.0,1.0
570,"to, their",222.0,0.0,222.0,1.0
573,"management, of",221.0,0.0,221.0,1.0
577,"company, and",220.0,0.0,220.0,1.0
583,"their, own",219.0,0.0,219.0,1.0
582,"quality, and",219.0,0.0,219.0,1.0
581,"Ethics, and",219.0,0.0,219.0,1.0
580,"Health, Sustainable",219.0,0.0,219.0,1.0
584,"importance, of",218.0,0.0,218.0,1.0
588,"comply, with",218.0,0.0,218.0,1.0
589,"Wellbeing, Responsible",218.0,0.0,218.0,1.0
590,"1, 1",218.0,0.0,218.0,1.0
591,"Sourcing, Transparency",218.0,0.0,218.0,1.0
592,"Accountability, Climate",218.0,0.0,218.0,1.0
594,"People, and",217.0,0.0,217.0,1.0
595,"are, the",217.0,0.0,217.0,1.0
596,"members, of",217.0,0.0,217.0,1.0
598,"material, topic",217.0,0.0,217.0,1.0
601,"and, practices",216.0,0.0,216.0,1.0
602,"ESG, Commitment",215.0,0.0,215.0,1.0
605,"forward-looking, statements",215.0,0.0,215.0,1.0
609,"and, sustainable",214.0,0.0,214.0,1.0
614,"Reporting, Hub",213.0,0.0,213.0,1.0
613,"Our, Sustainability",213.0,0.0,213.0,1.0
615,"be, found",212.0,0.0,212.0,1.0
620,"Management, Approach",211.0,0.0,211.0,1.0
621,"the, material",211.0,0.0,211.0,1.0
622,"the, importance",211.0,0.0,211.0,1.0
623,"understanding, of",211.0,0.0,211.0,1.0
626,"innovation, and",211.0,0.0,211.0,1.0
631,"under, the",210.0,0.0,210.0,1.0
628,"participated, in",210.0,0.0,210.0,1.0
629,"tools, and",210.0,0.0,210.0,1.0
632,"materials, and",210.0,0.0,210.0,1.0
633,"Responsibility, Report",209.0,0.0,209.0,1.0
639,"General, disclosures",208.0,0.0,208.0,1.0
642,"to, take",207.0,0.0,207.0,1.0
643,"ethics, and",207.0,0.0,207.0,1.0
644,"on, their",207.0,0.0,207.0,1.0
651,"is, responsible",206.0,0.0,206.0,1.0
652,"CEO, Letter",206.0,0.0,206.0,1.0
646,"and, work",206.0,0.0,206.0,1.0
650,"communities, in",206.0,0.0,206.0,1.0
655,"understand, the",205.0,0.0,205.0,1.0
656,"and, external",204.0,0.0,204.0,1.0
657,"skills, and",204.0,0.0,204.0,1.0
659,"and, financial",204.0,0.0,204.0,1.0
662,"solutions, that",203.0,0.0,203.0,1.0
664,"and, how",203.0,0.0,203.0,1.0
666,"with, suppliers",203.0,0.0,203.0,1.0
669,"2021, Proxy",202.0,0.0,202.0,1.0
671,"risk, assessment",202.0,0.0,202.0,1.0
672,"a, culture",202.0,0.0,202.0,1.0
674,"for, Humanity",202.0,0.0,202.0,1.0
679,"products, are",201.0,0.0,201.0,1.0
682,"mental, health",201.0,0.0,201.0,1.0
680,"employees, are",201.0,0.0,201.0,1.0
678,"culture, of",201.0,0.0,201.0,1.0
676,"Appendix, Equity",201.0,0.0,201.0,1.0
683,"Explanation, of",200.0,0.0,200.0,1.0
688,"Supplier, Code",199.0,0.0,199.0,1.0
689,"the, International",199.0,0.0,199.0,1.0
691,"the, environmental",199.0,0.0,199.0,1.0
692,"Commitment, Introduction",198.0,0.0,198.0,1.0
693,"See, Sustainable",198.0,0.0,198.0,1.0
698,"to, enhance",197.0,0.0,197.0,1.0
700,"consistent, with",197.0,0.0,197.0,1.0
701,"Health, Safety",197.0,0.0,197.0,1.0
703,"the, opportunity",197.0,0.0,197.0,1.0
706,"103, Management",197.0,0.0,197.0,1.0
707,"Appendix, Our",197.0,0.0,197.0,1.0
711,"to, engage",196.0,0.0,196.0,1.0
712,"work, and",196.0,0.0,196.0,1.0
709,"continuous, improvement",196.0,0.0,196.0,1.0
710,"and, management",196.0,0.0,196.0,1.0
717,"provide, a",195.0,0.0,195.0,1.0
720,"Audit, Committee",195.0,0.0,195.0,1.0
714,"and, local",195.0,0.0,195.0,1.0
716,"and, supply",195.0,0.0,195.0,1.0
715,"oversight, of",195.0,0.0,195.0,1.0
721,"SUPPLY, CHAIN",194.0,0.0,194.0,1.0
724,"engagement, and",194.0,0.0,194.0,1.0
723,"the, local",194.0,0.0,194.0,1.0
727,"CDP, Climate",193.0,0.0,193.0,1.0
730,"ESG, Progress",193.0,0.0,193.0,1.0
729,"100, 100",193.0,0.0,193.0,1.0
731,"the, value",192.0,0.0,192.0,1.0
732,"Health, for",192.0,0.0,192.0,1.0
733,"our, workforce",192.0,0.0,192.0,1.0
734,"Management, approach",191.0,0.0,191.0,1.0
735,"and, reporting",191.0,0.0,191.0,1.0
736,"Economic, Environmental",191.0,0.0,191.0,1.0
737,"2022, Proxy",191.0,0.0,191.0,1.0
739,"are, a",190.0,0.0,190.0,1.0
740,"address, the",190.0,0.0,190.0,1.0
743,"align, with",189.0,0.0,189.0,1.0
744,"program, is",189.0,0.0,189.0,1.0
742,"Report, 2020/2021",189.0,0.0,189.0,1.0
749,"not, be",188.0,0.0,188.0,1.0
752,"Corporate, Citizenship",188.0,0.0,188.0,1.0
753,"Inc, Impact",188.0,0.0,188.0,1.0
754,"2025, Targets",188.0,0.0,188.0,1.0
755,"Middle, East",187.0,0.0,187.0,1.0
756,"Social, Indices",187.0,0.0,187.0,1.0
757,"disclosures, Economic",187.0,0.0,187.0,1.0
758,"Merck, ESG",187.0,0.0,187.0,1.0
763,"programs, to",187.0,0.0,187.0,1.0
764,"Task, Force",187.0,0.0,187.0,1.0
771,"but, also",186.0,0.0,186.0,1.0
774,"develop, and",186.0,0.0,186.0,1.0
773,"organization, ’",186.0,0.0,186.0,1.0
770,"This, report",186.0,0.0,186.0,1.0
769,"support, for",186.0,0.0,186.0,1.0
768,"Our, approach",186.0,0.0,186.0,1.0
775,"Development, Goals",185.0,0.0,185.0,1.0
776,"education, and",185.0,0.0,185.0,1.0
777,"available, to",184.0,0.0,184.0,1.0
783,"the, Global",183.0,0.0,183.0,1.0
784,"a, comprehensive",183.0,0.0,183.0,1.0
786,"impact, and",182.0,0.0,182.0,1.0
788,"women, and",182.0,0.0,182.0,1.0
790,"Based, on",182.0,0.0,182.0,1.0
791,"topic, and",182.0,0.0,182.0,1.0
792,"Business, Conduct",181.0,0.0,181.0,1.0
793,"and, help",181.0,0.0,181.0,1.0
794,"diverse, suppliers",181.0,0.0,181.0,1.0
797,"make, a",180.0,0.0,180.0,1.0
800,"of, women",179.0,0.0,179.0,1.0
801,"to, evaluate",179.0,0.0,179.0,1.0
804,"and, health",179.0,0.0,179.0,1.0
805,"partners, to",179.0,0.0,179.0,1.0
806,"SUSTAINABILITY, AT",179.0,0.0,179.0,1.0
807,"John, Deere",179.0,0.0,179.0,1.0
808,"our, Board",179.0,0.0,179.0,1.0
811,"is, available",178.0,0.0,178.0,1.0
812,"risk, of",178.0,0.0,178.0,1.0
813,"scope, of",178.0,0.0,178.0,1.0
814,"President, and",178.0,0.0,178.0,1.0
817,"Climate, and",178.0,0.0,178.0,1.0
824,"child, labor",177.0,0.0,177.0,1.0
825,"place, to",177.0,0.0,177.0,1.0
823,"on, Form",177.0,0.0,177.0,1.0
819,"of, people",177.0,0.0,177.0,1.0
827,"information, about",176.0,0.0,176.0,1.0
831,"Tier, 1",176.0,0.0,176.0,1.0
832,"and, procedures",176.0,0.0,176.0,1.0
833,"AND, SAFETY",176.0,0.0,176.0,1.0
840,"Responsible, Business",175.0,0.0,175.0,1.0
841,"environment, and",175.0,0.0,175.0,1.0
837,"the, “",175.0,0.0,175.0,1.0
834,"Company, 2021",175.0,0.0,175.0,1.0
844,"a, range",174.0,0.0,174.0,1.0
846,"the, supply",174.0,0.0,174.0,1.0
848,"This, Report",174.0,0.0,174.0,1.0
852,"and, human",173.0,0.0,173.0,1.0
853,"and, community",173.0,0.0,173.0,1.0
854,"are, in",173.0,0.0,173.0,1.0
855,"of, waste",173.0,0.0,173.0,1.0
860,"or, other",172.0,0.0,172.0,1.0
861,"with, all",172.0,0.0,172.0,1.0
856,"respond, to",172.0,0.0,172.0,1.0
858,"with, local",172.0,0.0,172.0,1.0
857,"and, Culture",172.0,0.0,172.0,1.0
864,"and, CEO",171.0,0.0,171.0,1.0
865,"2022, Sustainability",171.0,0.0,171.0,1.0
866,"data, is",171.0,0.0,171.0,1.0
867,"GRI, 103",171.0,0.0,171.0,1.0
869,"Report, Our",171.0,0.0,171.0,1.0
870,"2020, ESG",171.0,0.0,171.0,1.0
871,"this, Report",170.0,0.0,170.0,1.0
872,"those, who",170.0,0.0,170.0,1.0
873,"and, well-being",170.0,0.0,170.0,1.0
883,"that, they",169.0,0.0,169.0,1.0
880,"to, report",169.0,0.0,169.0,1.0
882,"our, internal",169.0,0.0,169.0,1.0
881,"safety, of",169.0,0.0,169.0,1.0
876,"environmental, social",169.0,0.0,169.0,1.0
879,"a, positive",169.0,0.0,169.0,1.0
878,"their, families",169.0,0.0,169.0,1.0
874,"The, Board",169.0,0.0,169.0,1.0
885,"better, understand",168.0,0.0,168.0,1.0
887,"program, and",168.0,0.0,168.0,1.0
891,"’, S",168.0,0.0,168.0,1.0
892,"Social, Impact",168.0,0.0,168.0,1.0
894,"we, serve",167.0,0.0,167.0,1.0
898,"a, member",167.0,0.0,167.0,1.0
900,"social, impact",167.0,0.0,167.0,1.0
901,"SOCIAL, GOVERNANCE",167.0,0.0,167.0,1.0
902,"our, associates",167.0,0.0,167.0,1.0
906,"and, resources",166.0,0.0,166.0,1.0
905,"information, and",166.0,0.0,166.0,1.0
904,"a, company",166.0,0.0,166.0,1.0
903,"help, our",166.0,0.0,166.0,1.0
909,"IFF, ’",165.0,0.0,165.0,1.0
910,"Report, on",165.0,0.0,165.0,1.0
911,"science, and",165.0,0.0,165.0,1.0
915,"and, that",165.0,0.0,165.0,1.0
920,"About, This",164.0,0.0,164.0,1.0
922,"GRI, Standards",164.0,0.0,164.0,1.0
925,"review, of",163.0,0.0,163.0,1.0
926,"a, better",163.0,0.0,163.0,1.0
928,"Health, Equity",163.0,0.0,163.0,1.0
929,"Sustainability, at",163.0,0.0,163.0,1.0
930,"CHAPTER, 1",163.0,0.0,163.0,1.0
938,"HOME, CHAPTER",162.0,0.0,162.0,1.0
937,"its, components",162.0,0.0,162.0,1.0
934,"Through, our",162.0,0.0,162.0,1.0
936,"and, employees",162.0,0.0,162.0,1.0
932,"in, partnership",162.0,0.0,162.0,1.0
940,"women, in",161.0,0.0,161.0,1.0
943,"support, and",161.0,0.0,161.0,1.0
945,"3, CHAPTER",161.0,0.0,161.0,1.0
946,"CHAPTER, 4",161.0,0.0,161.0,1.0
941,"and, ESG",161.0,0.0,161.0,1.0
955,"safe, and",160.0,0.0,160.0,1.0
962,"The, program",160.0,0.0,160.0,1.0
961,"CHAPTER, 5",160.0,0.0,160.0,1.0
960,"CHAPTER, 2",160.0,0.0,160.0,1.0
959,"Social, Responsibility",160.0,0.0,160.0,1.0
958,"led, by",160.0,0.0,160.0,1.0
957,"results, of",160.0,0.0,160.0,1.0
954,"data, from",160.0,0.0,160.0,1.0
953,"are, based",160.0,0.0,160.0,1.0
952,"of, data",160.0,0.0,160.0,1.0
950,"engagement, with",160.0,0.0,160.0,1.0
949,"Governance, Committee",160.0,0.0,160.0,1.0
948,"diversity, equity",160.0,0.0,160.0,1.0
956,"an, inclusive",160.0,0.0,160.0,1.0
963,"Energy, and",159.0,0.0,159.0,1.0
964,"to, climate",159.0,0.0,159.0,1.0
965,"is, one",159.0,0.0,159.0,1.0
968,"there, is",159.0,0.0,159.0,1.0
970,"APPENDIX, ABOUT",159.0,0.0,159.0,1.0
971,"CHAPTER, 3",159.0,0.0,159.0,1.0
972,"Content, Index",159.0,0.0,159.0,1.0
977,"our, product",158.0,0.0,158.0,1.0
978,"and, training",158.0,0.0,158.0,1.0
975,"Diversity, and",158.0,0.0,158.0,1.0
974,"and, Ethics",158.0,0.0,158.0,1.0
980,"and, manage",157.0,0.0,157.0,1.0
982,"over, time",157.0,0.0,157.0,1.0
983,"potential, to",157.0,0.0,157.0,1.0
985,"helping, to",157.0,0.0,157.0,1.0
986,"with, their",157.0,0.0,157.0,1.0
987,"of, color",157.0,0.0,157.0,1.0
990,"and, processes",157.0,0.0,157.0,1.0
992,"value, of",157.0,0.0,157.0,1.0
993,"that, may",157.0,0.0,157.0,1.0
994,"the, process",157.0,0.0,157.0,1.0
995,"DE, I",157.0,0.0,157.0,1.0
1001,"Chief, Executive",156.0,0.0,156.0,1.0
1004,"and, Compliance",156.0,0.0,156.0,1.0
999,"a, wide",156.0,0.0,156.0,1.0
996,"support, to",156.0,0.0,156.0,1.0
1008,"services, and",155.0,0.0,155.0,1.0
1010,"employees, who",155.0,0.0,155.0,1.0
1009,"people, in",155.0,0.0,155.0,1.0
1013,"2, CHAPTER",155.0,0.0,155.0,1.0
1007,"suppliers, in",155.0,0.0,155.0,1.0
1006,"security, and",155.0,0.0,155.0,1.0
1005,"We, use",155.0,0.0,155.0,1.0
1014,"Philip, Morris",154.0,0.0,154.0,1.0
1015,"may, not",154.0,0.0,154.0,1.0
1016,"internal, and",154.0,0.0,154.0,1.0
1018,"to, focus",154.0,0.0,154.0,1.0
1019,"throughout, our",154.0,0.0,154.0,1.0
1029,"environmental, impacts",153.0,0.0,153.0,1.0
1032,"Citizenship, Report",153.0,0.0,153.0,1.0
1030,"want, to",153.0,0.0,153.0,1.0
1031,"Evaluation, of",153.0,0.0,153.0,1.0
1028,"”, and",153.0,0.0,153.0,1.0
1024,"important, to",153.0,0.0,153.0,1.0
1021,"and, regulatory",153.0,0.0,153.0,1.0
1026,"or, more",153.0,0.0,153.0,1.0
1033,"according, to",152.0,0.0,152.0,1.0
1035,"and, Inclusion",152.0,0.0,152.0,1.0
1036,"integrity, and",152.0,0.0,152.0,1.0
1039,"and, use",152.0,0.0,152.0,1.0
1040,"of, December",152.0,0.0,152.0,1.0
1041,"Executive, Officer",152.0,0.0,152.0,1.0
1042,"rights, and",152.0,0.0,152.0,1.0
1043,"to, COVID-19",152.0,0.0,152.0,1.0
1044,"GRI, Content",152.0,0.0,152.0,1.0
1050,"values, and",151.0,0.0,151.0,1.0
1056,"Describe, the",151.0,0.0,151.0,1.0
1054,"and, Chief",151.0,0.0,151.0,1.0
1053,"Global, Health",151.0,0.0,151.0,1.0
1045,"a, number",151.0,0.0,151.0,1.0
1048,"help, them",151.0,0.0,151.0,1.0
1049,"the, risk",151.0,0.0,151.0,1.0
1068,"to, minimize",150.0,0.0,150.0,1.0
1059,"list, of",150.0,0.0,150.0,1.0
1060,"the, National",150.0,0.0,150.0,1.0
1061,"and, economic",150.0,0.0,150.0,1.0
1065,"to, determine",150.0,0.0,150.0,1.0
1066,"2, 1",150.0,0.0,150.0,1.0
1067,"Equity, Inclusion",150.0,0.0,150.0,1.0
1069,"businesses, and",149.0,0.0,149.0,1.0
1072,"provides, a",149.0,0.0,149.0,1.0
1074,"Financial, Disclosures",149.0,0.0,149.0,1.0
1077,"our, ability",148.0,0.0,148.0,1.0
1078,"corporate, governance",148.0,0.0,148.0,1.0
1079,"Report, The",148.0,0.0,148.0,1.0
1086,"a, sustainable",147.0,0.0,147.0,1.0
1087,"compliance, and",147.0,0.0,147.0,1.0
1081,"water, stress",147.0,0.0,147.0,1.0
1085,"are, required",147.0,0.0,147.0,1.0
1083,"the, GRI",147.0,0.0,147.0,1.0
1088,"requirements, and",146.0,0.0,146.0,1.0
1090,"building, a",146.0,0.0,146.0,1.0
1091,"our, packaging",146.0,0.0,146.0,1.0
1092,"and, diversity",146.0,0.0,146.0,1.0
1093,"all, levels",146.0,0.0,146.0,1.0
1094,"Raytheon, Technologies",146.0,0.0,146.0,1.0
1095,"Linde, 2020",146.0,0.0,146.0,1.0
1102,"responsibility, for",145.0,0.0,145.0,1.0
1104,"our, industry",145.0,0.0,145.0,1.0
1103,"clinical, trials",145.0,0.0,145.0,1.0
1105,"so, that",145.0,0.0,145.0,1.0
1101,"and, programs",145.0,0.0,145.0,1.0
1098,"a, critical",145.0,0.0,145.0,1.0
1100,"third, party",145.0,0.0,145.0,1.0
1109,"they, need",144.0,0.0,144.0,1.0
1111,"the, full",144.0,0.0,144.0,1.0
1112,"protect, the",144.0,0.0,144.0,1.0
1113,"Conduct, and",144.0,0.0,144.0,1.0
1114,"palm, oil",144.0,0.0,144.0,1.0
1120,"regulations, and",143.0,0.0,143.0,1.0
1125,"tonnes, CO2e",143.0,0.0,143.0,1.0
1124,"to, serve",143.0,0.0,143.0,1.0
1117,"of, Business",143.0,0.0,143.0,1.0
1118,"Senior, Vice",143.0,0.0,143.0,1.0
1116,"Abbott, ’",143.0,0.0,143.0,1.0
1133,"ESG, APPENDIX",142.0,0.0,142.0,1.0
1136,"Integrated, Report",142.0,0.0,142.0,1.0
1135,"AND, AFFORDABILITY",142.0,0.0,142.0,1.0
1134,"ACCESS, AND",142.0,0.0,142.0,1.0
1127,"culture, and",142.0,0.0,142.0,1.0
1132,"QUALITY, AND",142.0,0.0,142.0,1.0
1129,"focuses, on",142.0,0.0,142.0,1.0
1128,"worked, with",142.0,0.0,142.0,1.0
1130,"to, learn",142.0,0.0,142.0,1.0
1149,"employees, ’",141.0,0.0,141.0,1.0
1156,"Amazon, Sustainability",141.0,0.0,141.0,1.0
1154,"Report, pages",141.0,0.0,141.0,1.0
1153,"awareness, of",141.0,0.0,141.0,1.0
1151,"on, how",141.0,0.0,141.0,1.0
1150,"Board, and",141.0,0.0,141.0,1.0
1157,"public, policy",141.0,0.0,141.0,1.0
1148,"is, designed",141.0,0.0,141.0,1.0
1143,"our, culture",141.0,0.0,141.0,1.0
1142,"We, work",141.0,0.0,141.0,1.0
1141,"Business, Practices",141.0,0.0,141.0,1.0
1137,"and, risk",141.0,0.0,141.0,1.0
1145,"As, the",141.0,0.0,141.0,1.0
1167,"responsible, sourcing",140.0,0.0,140.0,1.0
1168,"Climate, Report",140.0,0.0,140.0,1.0
1169,"Oracle, Corporate",140.0,0.0,140.0,1.0
1163,"should, be",140.0,0.0,140.0,1.0
1162,"responsibility, to",140.0,0.0,140.0,1.0
